"StockCode","sciname","Loo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","Temperature","DeltaT"
4652,"Eubleekeria splendens",11.7,11.7,1.12,NA,NA,NA,NA,28.3,NA
4652,"Eubleekeria splendens",11.7,11.7,1.2,NA,NA,NA,NA,28.3,NA
4652,"Eubleekeria splendens",13,13,1.6,NA,NA,NA,NA,28.3,NA
4652,"Eubleekeria splendens",13.5,13.5,1.03,NA,NA,NA,NA,28.3,NA
4652,"Eubleekeria splendens",14.3,14.3,1.04,NA,NA,NA,NA,28.3,NA
4652,"Eubleekeria splendens",14,14,1.04,NA,NA,NA,NA,28,NA
4652,"Eubleekeria splendens",10.2,10.2,1.5,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",12.3,12.3,0.7,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",12.4,12.4,0.75,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",13.2,13.2,0.76,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",15,17.64706,0.72,NA,NA,NA,NA,28.5,NA
4652,"Eubleekeria splendens",14.5,14.5,1.25,NA,NA,NA,NA,27,NA
4652,"Eubleekeria splendens",16.7,16.7,0.9,NA,NA,NA,NA,28,NA
4652,"Eubleekeria splendens",16.9,16.9,1.1,NA,NA,NA,NA,28,NA
4652,"Eubleekeria splendens",12.2,14.35294,0.89,NA,NA,NA,NA,28.5,NA
4652,"Eubleekeria splendens",15,17.64706,0.96,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",13.1,15.41177,0.9,NA,NA,NA,NA,28.5,NA
4652,"Eubleekeria splendens",14,17.75,0.857,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",14,17.75,1.083,NA,NA,NA,NA,28.2,NA
4652,"Eubleekeria splendens",17,17,0.326,NA,NA,NA,NA,27.6,NA
4652,"Eubleekeria splendens",16.1,16.1,0.528,NA,NA,NA,NA,27.8,NA
4652,"Eubleekeria splendens",14.5,17.05882,0.9,NA,NA,NA,NA,28.7,NA
4652,"Eubleekeria splendens",11.5,14.6,1.3,NA,NA,NA,NA,25,NA
4652,"Eubleekeria splendens",19,19,0.85,NA,NA,NA,NA,27.9,NA
4652,"Eubleekeria splendens",19,19,0.7,NA,NA,NA,NA,28,NA
4660,"Gazza minuta",14,14,1.1,NA,NA,NA,NA,28.3,NA
4660,"Gazza minuta",17.5,22.4359,0.97,NA,NA,NA,NA,28.5,NA
4660,"Gazza minuta",22.5,25.86207,1.3,NA,NA,NA,NA,28.5,NA
4660,"Gazza minuta",17.4,20,0.7,NA,NA,NA,NA,28.7,NA
4660,"Gazza minuta",13.5,13.5,0.85,NA,NA,NA,NA,28,NA
4759,"Karalla daura",8.1,8.1,2.93,NA,NA,NA,NA,28.2,NA
4759,"Karalla daura",8.5,8.5,2.52,NA,NA,NA,NA,28.2,NA
4759,"Karalla daura",9.4,9.4,2.1,NA,NA,NA,NA,28.2,NA
4759,"Karalla daura",9.6,9.6,1.25,NA,NA,NA,NA,28.2,NA
4759,"Karalla daura",9.6,9.6,1.27,NA,NA,NA,NA,28.2,NA
5039,"Leiognathus brevirostris",13,14.94253,1.69,NA,NA,NA,NA,28.5,NA
5039,"Leiognathus brevirostris",13.5,15.51724,1.75,NA,NA,NA,NA,28.7,NA
5039,"Leiognathus brevirostris",9.75,9.75,1.2,NA,NA,NA,NA,27,NA
5039,"Leiognathus brevirostris",13.8,13.8,0.9,NA,NA,NA,NA,12.5,NA
4649,"Leiognathus equulus",21.1,21.1,1.88,NA,NA,NA,NA,28.5,NA
4649,"Leiognathus equulus",21.2,21.2,1.73,NA,NA,NA,NA,28.5,NA
4649,"Leiognathus equulus",24.8,29.87952,1.28,NA,NA,NA,NA,28.5,NA
4649,"Leiognathus equulus",21.5,21.5,1.5,NA,NA,NA,NA,28,NA
4649,"Leiognathus equulus",20.5,24.6988,1.08,NA,NA,NA,NA,28.7,NA
4649,"Leiognathus equulus",27.5,33.13253,1.25,NA,NA,NA,NA,28.7,NA
4649,"Leiognathus equulus",24,28.91566,0.56,NA,NA,NA,NA,28.5,NA
4649,"Leiognathus equulus",22,22,0.925,NA,NA,NA,NA,21,NA
4649,"Leiognathus equulus",22.5,22.5,0.67,NA,NA,NA,NA,21,NA
4649,"Leiognathus equulus",23.5,23.5,0.8,NA,NA,NA,NA,21,NA
4649,"Leiognathus equulus",25,25,0.95,NA,NA,NA,NA,21,NA
4649,"Leiognathus equulus",23,27.71084,0.73,NA,NA,NA,NA,28.7,NA
4649,"Leiognathus equulus",16,20.25316,0.354,NA,NA,NA,NA,25,NA
4649,"Leiognathus equulus",22,22,0.75,NA,NA,NA,NA,28,NA
5037,"Nuchequula blochii",12.5,12.5,1.16,NA,NA,NA,NA,28.2,NA
5037,"Nuchequula blochii",12.5,12.5,1.25,NA,NA,NA,NA,28.2,NA
5037,"Nuchequula blochii",13.2,13.2,1.2,NA,NA,NA,NA,28.2,NA
5038,"Nuchequula gerreoides",13,13,1,NA,NA,NA,NA,28,NA
5038,"Nuchequula gerreoides",12,15,1.2,NA,NA,NA,NA,25,NA
4783,"Nuchequula nuchalis",12,12,2.56,NA,NA,NA,NA,18,NA
4647,"Photopectoralis bindus",9.5,9.5,2.42,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",10.2,10.2,2.63,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",10.3,10.3,2.58,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",10.5,10.5,2.24,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",11.3,11.3,2.06,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",8.2,8.2,1.25,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",8.2,8.2,1.3,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",10.3,10.3,1.25,NA,NA,NA,NA,28.2,NA
4647,"Photopectoralis bindus",12.5,12.5,1.38,NA,NA,NA,NA,28,NA
4647,"Photopectoralis bindus",15.8,15.8,0.58,NA,NA,NA,NA,27.2,NA
4647,"Photopectoralis bindus",13.5,15.69767,0.96,NA,NA,NA,NA,28.5,NA
4647,"Photopectoralis bindus",13.6,15.81395,1.03,NA,NA,NA,NA,28.5,NA
4647,"Photopectoralis bindus",13.8,16.04651,0.88,NA,NA,NA,NA,28.5,NA
4647,"Photopectoralis bindus",12.1,14.06977,0.98,NA,NA,NA,NA,28.5,NA
4647,"Photopectoralis bindus",12.2,12.2,1.3,NA,NA,NA,NA,27,NA
4647,"Photopectoralis bindus",13,15.11628,0.95,NA,NA,NA,NA,28.7,NA
4647,"Photopectoralis bindus",10,12.7,0.82,NA,NA,NA,NA,25,NA
4647,"Photopectoralis bindus",13,13,0.74,NA,NA,NA,NA,NA,NA
4647,"Photopectoralis bindus",11.5,11.5,0.85,NA,NA,NA,NA,28,NA
4647,"Photopectoralis bindus",13.1,NA,1.7,NA,NA,NA,NA,29.4,NA
4653,"Secutor insidiator",9.1,9.1,1.4,NA,NA,NA,NA,28.2,NA
4653,"Secutor insidiator",10.2,10.2,1.5,NA,NA,NA,NA,28.2,NA
4653,"Secutor insidiator",11,11,1.35,NA,NA,NA,NA,28.2,NA
4653,"Secutor insidiator",12.3,12.3,1.2,NA,NA,NA,NA,27.6,NA
4653,"Secutor insidiator",12.3,12.3,1,NA,NA,NA,NA,28,NA
4653,"Secutor insidiator",12,NA,0.33,NA,NA,NA,NA,NA,NA
5040,"Secutor ruconius",7.6,7.6,1.6,NA,NA,NA,NA,28.2,NA
5040,"Secutor ruconius",8.4,8.4,1.55,NA,NA,NA,NA,28.2,NA
5040,"Secutor ruconius",9.2,9.2,1.15,NA,NA,NA,NA,28.2,NA
5040,"Secutor ruconius",11.8,14.5679,0.97,NA,NA,NA,NA,28.7,NA
5040,"Secutor ruconius",8,10.7,1,NA,NA,NA,NA,25,NA
4722,"Lepidogalaxias salamandroides",7.2,7.2,0.63,NA,NA,NA,NA,19,14.5
4722,"Lepidogalaxias salamandroides",4.55,4.55,1.28,NA,NA,NA,NA,19,14.5
1092,"Lepisosteus osseus",140,140,0.08,NA,NA,NA,NA,NA,NA
1092,"Lepisosteus osseus",115,115,0.116,NA,NA,NA,NA,NA,NA
2794,"Lepisosteus platyrhincus",62,62,0.24,NA,NA,NA,NA,NA,NA
2794,"Lepisosteus platyrhincus",76.2,76.2,0.15,NA,NA,NA,NA,NA,NA
2794,"Lepisosteus platyrhincus",40.3,40.3,0.701,NA,NA,NA,NA,NA,NA
2794,"Lepisosteus platyrhincus",52.3,52.3,0.37,NA,NA,NA,NA,NA,NA
2031,"Gymnocranius audleyi",28.2,30.86913,0.557,NA,NA,NA,NA,26,NA
2033,"Gymnocranius euanus",40,43.95604,0.24,NA,NA,NA,NA,24,NA
2033,"Gymnocranius euanus",45.8,50.32967,0.22,NA,NA,NA,NA,24,NA
2030,"Gymnocranius grandoculis",52.8,56.70388,0.23,NA,NA,NA,NA,24,NA
2029,"Gymnocranius griseus",34.8,34.8,0.22,NA,NA,NA,NA,27,NA
2050,"Lethrinus atkinsoni",41.3,48.02325,0.31,NA,NA,NA,NA,23,NA
2050,"Lethrinus atkinsoni",41.4,48.13954,0.31,NA,NA,NA,NA,23,NA
2050,"Lethrinus atkinsoni",42.8,49.76744,0.29,NA,NA,NA,NA,23,NA
2050,"Lethrinus atkinsoni",32.7,38.02326,0.29,NA,NA,NA,NA,24,NA
2040,"Lethrinus borbonicus",24.8,NA,0.88,NA,NA,NA,NA,NA,NA
2040,"Lethrinus borbonicus",25.4,NA,0.7,NA,NA,NA,NA,NA,NA
2051,"Lethrinus enigmaticus",45.4,49,0.179,NA,NA,NA,NA,27,NA
2051,"Lethrinus enigmaticus",53.9,58.2,0.149,NA,NA,NA,NA,27,NA
2051,"Lethrinus enigmaticus",55,55,0.13,NA,NA,NA,NA,27,NA
2058,"Lethrinus erythracanthus",51.7,60.46783,0.2,NA,NA,NA,NA,23,NA
2058,"Lethrinus erythracanthus",31.8,NA,0.56,NA,NA,NA,NA,NA,NA
2061,"Lethrinus genivittatus",16.2,18.40909,0.86,NA,NA,NA,NA,24,NA
2061,"Lethrinus genivittatus",18.5,21.02273,0.87,NA,NA,NA,NA,24,NA
2047,"Lethrinus harak",33,39.75904,0.49,NA,NA,NA,NA,23,NA
2047,"Lethrinus harak",33.9,40.84338,0.46,NA,NA,NA,NA,23,NA
2047,"Lethrinus harak",34.2,41.20482,0.45,NA,NA,NA,NA,23,NA
2059,"Lethrinus lentjan",64,64,0.27,NA,NA,NA,NA,12.5,NA
2059,"Lethrinus lentjan",51.1,51.1,0.174,NA,NA,NA,NA,27.5,NA
2059,"Lethrinus lentjan",33.6,37.33333,0.33,NA,NA,NA,NA,24,NA
2059,"Lethrinus lentjan",42.6,47.33333,0.48,NA,NA,NA,NA,27.6,NA
2059,"Lethrinus lentjan",18.5,18.5,1,NA,NA,NA,NA,27.2,NA
2059,"Lethrinus lentjan",37.3,39.04424,0.165,NA,NA,NA,NA,27,NA
2059,"Lethrinus lentjan",34.1,NA,0.69,NA,NA,NA,NA,NA,NA
2059,"Lethrinus lentjan",30.7,NA,0.85,NA,NA,NA,NA,NA,NA
2039,"Lethrinus mahsena",58.9,63.33334,0.32,NA,NA,NA,NA,27.6,NA
2039,"Lethrinus mahsena",50.4,54.19355,0.13,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",55.4,59.56989,0.1,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",50,53.76344,0.16,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",55.6,59.78495,0.12,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",60,64.51613,0.1,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",28.3,30.18318,0.221,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",30.8,32.84954,0.194,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",35.5,NA,0.3,NA,NA,NA,NA,27,NA
2039,"Lethrinus mahsena",52,NA,0.09,NA,NA,NA,NA,27,NA
2041,"Lethrinus microdon",82,82,0.2,NA,NA,NA,NA,27.6,NA
2041,"Lethrinus microdon",33.7,NA,0.68,NA,NA,NA,NA,NA,NA
2041,"Lethrinus microdon",34.3,NA,0.57,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",58.5,70.99515,0.17,NA,NA,NA,NA,25.8,NA
2054,"Lethrinus miniatus",45.7,55.46117,0.27,NA,NA,NA,NA,24,NA
2054,"Lethrinus miniatus",48.9,59.34466,0.26,NA,NA,NA,NA,24,NA
2054,"Lethrinus miniatus",83,89.15145,0.056,NA,NA,NA,NA,12.5,NA
2054,"Lethrinus miniatus",70,75.18797,0.1,NA,NA,NA,NA,12.5,NA
2054,"Lethrinus miniatus",52.1,54.68195,0.23,NA,NA,NA,NA,24.8,4
2054,"Lethrinus miniatus",44.1,NA,0.55,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",45,NA,0.61,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",45.9,NA,0.56,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",46.1,NA,0.43,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",48.1,NA,0.29,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",51.5,NA,0.23,NA,NA,NA,NA,NA,NA
2054,"Lethrinus miniatus",58.6,NA,0.12,NA,NA,NA,NA,NA,NA
2042,"Lethrinus nebulosus",48,59.735,0.39,NA,NA,NA,NA,25.8,NA
2042,"Lethrinus nebulosus",86,86,0.11,NA,NA,NA,NA,22.2,NA
2042,"Lethrinus nebulosus",87,97.40225,0.09,NA,NA,NA,NA,29,NA
2042,"Lethrinus nebulosus",61.7,68.97528,0.21,NA,NA,NA,NA,24,NA
2042,"Lethrinus nebulosus",57.9,64.70562,0.22,NA,NA,NA,NA,24,NA
2042,"Lethrinus nebulosus",50.2,62.507,0.21,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",62.3,77.753,0.17,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",64.6,80.65099,0.16,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",71.6,80.09888,0.21,NA,NA,NA,NA,27.6,NA
2042,"Lethrinus nebulosus",85.9,96.1663,0.101,NA,NA,NA,NA,27.6,NA
2042,"Lethrinus nebulosus",62.7,62.7,0.19,NA,NA,NA,NA,24.8,NA
2042,"Lethrinus nebulosus",80,89.53709,0.23,NA,NA,NA,NA,27.2,NA
2042,"Lethrinus nebulosus",52.7,58.86292,0.127,NA,NA,NA,NA,27,NA
2042,"Lethrinus nebulosus",61.1,68.30112,0.106,NA,NA,NA,NA,27,NA
2042,"Lethrinus nebulosus",62.7,62.7,0.19,NA,NA,NA,NA,26,NA
2042,"Lethrinus nebulosus",55.8,62.34607,0.31,NA,NA,NA,NA,29,NA
2042,"Lethrinus nebulosus",61.4,68.63821,0.34,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",61.5,68.75056,0.36,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",58.5,65.37978,0.743,NA,NA,NA,NA,26,NA
2042,"Lethrinus nebulosus",57.6,64.36854,0.588,NA,NA,NA,NA,26,NA
2042,"Lethrinus nebulosus",55.5,55.5,0.22,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",96.7,108.30112,0.162,NA,NA,NA,NA,23,NA
2042,"Lethrinus nebulosus",65.2,NA,0.11,NA,NA,NA,NA,NA,NA
2042,"Lethrinus nebulosus",69.9,NA,0.1,NA,NA,NA,NA,NA,NA
2043,"Lethrinus obsoletus",34.5,35.48748,0.38,NA,NA,NA,NA,28,NA
2060,"Lethrinus olivaceus",75,80.64516,0.25,NA,NA,NA,NA,29,NA
2060,"Lethrinus olivaceus",82,82,0.213,NA,NA,NA,NA,21,NA
2060,"Lethrinus olivaceus",63,63,0.55,NA,NA,NA,NA,23,NA
2060,"Lethrinus olivaceus",106,113.97849,0.061,NA,NA,NA,NA,27.6,NA
2062,"Lethrinus ornatus",30.9,38.625,0.55,NA,NA,NA,NA,23,NA
2062,"Lethrinus ornatus",32.7,40.875,0.49,NA,NA,NA,NA,23,NA
2062,"Lethrinus ornatus",33.1,41.375,0.48,NA,NA,NA,NA,23,NA
2044,"Lethrinus rubrioperculatus",30.8,33.91397,0.22,NA,NA,NA,NA,23,NA
2045,"Lethrinus semicinctus",26.4,32.19512,0.76,NA,NA,NA,NA,23,NA
2045,"Lethrinus semicinctus",30,36.58537,0.59,NA,NA,NA,NA,23,NA
2046,"Lethrinus variegatus",30.3,38.20435,0.43,NA,NA,NA,NA,24,NA
2046,"Lethrinus variegatus",26,NA,0.49,NA,NA,NA,NA,NA,NA
2048,"Lethrinus xanthochilus",53.9,62.67442,0.18,NA,NA,NA,NA,23,NA
2048,"Lethrinus xanthochilus",62.2,72.32558,0.14,NA,NA,NA,NA,23,NA
2048,"Lethrinus xanthochilus",64,74.4186,0.17,NA,NA,NA,NA,23,NA
2048,"Lethrinus xanthochilus",55,58.51064,0.3,NA,NA,NA,NA,25,NA
2066,"Wattsia mossambica",35.9,NA,0.54,NA,NA,NA,NA,NA,NA
19177,"Allocareproctus jordani",34,34,0.41,NA,NA,NA,NA,NA,NA
19193,"Careproctus colletti",32.8,32.8,0.67,NA,NA,NA,NA,NA,NA
4375,"Careproctus melanurus",26,26,0.43,NA,NA,NA,NA,4,NA
4375,"Careproctus melanurus",41.8,41.8,0.49,NA,NA,NA,NA,NA,NA
43029,"Careproctus zachirus",30.9,30.9,0.36,NA,NA,NA,NA,NA,NA
4391,"Liparis inquilinus",6.6,6.6,2.78,NA,NA,NA,NA,NA,NA
4394,"Liparis pulchellus",20,20,0.3,NA,NA,NA,NA,18,NA
42639,"Palmoliparis beckeri",33.1,33.1,0.64,NA,NA,NA,NA,NA,NA
1093,"Lobotes surinamensis",58.6,70.3,0.68,NA,NA,NA,NA,23,NA
549,"Lophius americanus",197,197,0.06,NA,NA,NA,NA,5.5,NA
549,"Lophius americanus",158,158,0.095,NA,NA,NA,NA,9,NA
549,"Lophius americanus",146,146,0.097,NA,NA,NA,NA,9,NA
5329,"Lophius budegassa",111,111,0.07,NA,NA,NA,NA,11,NA
5329,"Lophius budegassa",84.8,84.8,0.1,NA,NA,NA,NA,11,NA
5329,"Lophius budegassa",73.7,73.7,0.118,NA,NA,NA,NA,14,NA
5329,"Lophius budegassa",59.8,59.8,0.142,NA,NA,NA,NA,14,NA
5329,"Lophius budegassa",93.5,93.5,0.101,NA,NA,NA,NA,18,NA
5329,"Lophius budegassa",102,102,0.08,NA,NA,NA,NA,18,NA
5329,"Lophius budegassa",147.3,147.3,0.091,NA,NA,NA,NA,NA,NA
5329,"Lophius budegassa",102.5,102.5,0.189,NA,NA,NA,NA,NA,NA
5329,"Lophius budegassa",68.5,NA,0.112,0.044,NA,NA,NA,NA,NA
5329,"Lophius budegassa",60.3,NA,0.109,0.003,NA,NA,NA,NA,NA
5329,"Lophius budegassa",103,NA,0.15,NA,NA,NA,NA,NA,NA
732,"Lophius piscatorius",137,137,0.164,NA,NA,NA,NA,9,NA
732,"Lophius piscatorius",167,167,0.08,NA,NA,NA,NA,11,NA
732,"Lophius piscatorius",130,130,0.11,NA,NA,NA,NA,11,NA
732,"Lophius piscatorius",122,122,0.1,NA,NA,NA,NA,14.5,NA
732,"Lophius piscatorius",131,131,0.13,NA,NA,NA,NA,14.5,NA
732,"Lophius piscatorius",132,132,0.109,NA,NA,NA,NA,14.5,NA
732,"Lophius piscatorius",112,112,0.33,NA,NA,NA,NA,14,NA
732,"Lophius piscatorius",103,103,0.357,NA,NA,NA,NA,14,NA
732,"Lophius piscatorius",106,106,0.18,NA,NA,NA,NA,9,NA
732,"Lophius piscatorius",167,167,0.077,NA,NA,NA,NA,13,NA
732,"Lophius piscatorius",130,130,0.11,NA,NA,NA,NA,13,NA
732,"Lophius piscatorius",137,137,0.09,NA,NA,NA,NA,NA,NA
732,"Lophius piscatorius",164,164,0.065,NA,NA,NA,NA,18,NA
732,"Lophius piscatorius",231.89999,NA,0.048,0.002,NA,NA,NA,NA,NA
732,"Lophius piscatorius",148,NA,0.078,NA,NA,NA,NA,NA,NA
732,"Lophius piscatorius",162,NA,0.088,NA,NA,NA,NA,NA,NA
10579,"Lophius vomerinus",121,121,0.04,NA,NA,NA,NA,15,NA
10579,"Lophius vomerinus",112,112,0.08,0.04,NA,0,0.16,15,NA
10579,"Lophius vomerinus",72.3,72.3,0.14,0.04,NA,0.04,0.22,15,NA
41065,"Hypostomus albopunctatus",44,44,0.105,NA,NA,NA,NA,NA,NA
41065,"Hypostomus albopunctatus",53.5,53.5,0.081,NA,NA,NA,NA,NA,NA
40820,"Rhinelepis aspera",74.5,74.5,0.102,NA,NA,NA,NA,23,NA
40820,"Rhinelepis aspera",64.6,54,0.124,NA,NA,NA,NA,23,NA
61,"Brosme brosme",84.3,84.3,0.135,NA,NA,NA,NA,9,NA
61,"Brosme brosme",77.6,77.6,0.162,NA,NA,NA,NA,9,NA
61,"Brosme brosme",89,89,0.08,NA,NA,NA,NA,9,NA
61,"Brosme brosme",69,NA,0.188,NA,NA,NA,NA,NA,NA
61,"Brosme brosme",73,NA,0.152,NA,NA,NA,NA,NA,NA
61,"Brosme brosme",75,NA,0.13,NA,NA,NA,NA,NA,NA
61,"Brosme brosme",78,NA,0.106,NA,NA,NA,NA,NA,NA
61,"Brosme brosme",79,NA,0.099,NA,NA,NA,NA,NA,NA
61,"Brosme brosme",83,NA,0.105,NA,NA,NA,NA,NA,NA
2070,"Enchelyopus cimbrius",43,43,0.245,NA,NA,NA,NA,9,NA
2070,"Enchelyopus cimbrius",36,36,0.2,NA,NA,NA,NA,12,NA
2070,"Enchelyopus cimbrius",31,31,0.25,NA,NA,NA,NA,NA,NA
1936,"Gaidropsarus mediterraneus",27,27,0.6,NA,NA,NA,NA,14,NA
324,"Lota lota",66.1,66.1,0.21,NA,NA,NA,NA,NA,NA
324,"Lota lota",74,74,0.11,NA,NA,NA,NA,NA,NA
324,"Lota lota",84.4,84.4,0.135,NA,NA,NA,NA,NA,NA
324,"Lota lota",88,88,0.24,NA,NA,NA,NA,NA,NA
324,"Lota lota",104,112.67606,0.054,NA,NA,NA,NA,NA,NA
324,"Lota lota",104,104,0.082,NA,NA,NA,NA,3.1,NA
324,"Lota lota",160,160,0.063,NA,NA,NA,NA,NA,NA
324,"Lota lota",126.4,126.4,0.11,NA,NA,NA,NA,NA,NA
1402,"Molva dypterygia",155,155,0.126,NA,NA,NA,NA,9,NA
1402,"Molva dypterygia",113,113,0.157,NA,NA,NA,NA,9,NA
1402,"Molva dypterygia",160,NA,0.11,NA,NA,NA,NA,NA,NA
43,"Molva molva",183,183,0.118,NA,NA,NA,NA,9,NA
43,"Molva molva",132,132,0.17,NA,NA,NA,NA,9,NA
43,"Molva molva",119,NA,0.136,NA,NA,NA,NA,NA,NA
43,"Molva molva",124,NA,0.163,NA,NA,NA,NA,NA,NA
43,"Molva molva",141,NA,0.143,NA,NA,NA,NA,NA,NA
43,"Molva molva",158,NA,0.087,NA,NA,NA,NA,NA,NA
43,"Molva molva",166,NA,0.103,NA,NA,NA,NA,NA,NA
43,"Molva molva",189,NA,0.08,NA,NA,NA,NA,NA,NA
98,"Aphareus rutilans",123,147,0.163,NA,NA,NA,NA,23,NA
98,"Aphareus rutilans",82.7,NA,0.16,NA,NA,NA,NA,NA,NA
99,"Aprion virescens",66,82.1,0.31,NA,NA,NA,NA,24,NA
99,"Aprion virescens",108,122,0.14,NA,NA,NA,NA,25,NA
99,"Aprion virescens",95,108,0.29,NA,NA,NA,NA,25,NA
99,"Aprion virescens",78,88.4,0.348,NA,NA,NA,NA,25,NA
99,"Aprion virescens",79,NA,0.13,NA,NA,NA,NA,NA,NA
100,"Apsilus dentatus",56,61.6,0.3,NA,NA,NA,NA,20,NA
100,"Apsilus dentatus",58,63.8,0.65,NA,NA,NA,NA,20,NA
102,"Etelis carbunculus",94,107,0.07,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",54,61.2,0.289,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",68,77.1,0.126,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",71.8,81.4,0.163,NA,NA,NA,NA,22,NA
102,"Etelis carbunculus",127,138.28355,0.129,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",40,45.4,0.347,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",63.9,72.5,0.36,NA,NA,NA,NA,24.2,NA
102,"Etelis carbunculus",132,132,0.22,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",136,136,0.31,NA,NA,NA,NA,21,NA
102,"Etelis carbunculus",79.1,NA,0.1,NA,NA,NA,NA,NA,NA
102,"Etelis carbunculus",89.551,NA,0.28,0.04,NA,NA,NA,NA,NA
1406,"Etelis coruscans",82,93.5,0.128,NA,NA,NA,NA,21,NA
1406,"Etelis coruscans",109,124,0.123,NA,NA,NA,NA,21,NA
1406,"Etelis coruscans",72.9,NA,0.27,0.03,NA,NA,NA,NA,NA
1406,"Etelis coruscans",87.933,NA,0.32,0.04,NA,NA,NA,NA,NA
1409,"Etelis oculatus",103,103,0.61,NA,NA,NA,NA,20,NA
1409,"Etelis oculatus",102,102,0.29,NA,NA,NA,NA,20,NA
1410,"Etelis radiosus",70,NA,0.21,NA,NA,NA,NA,NA,NA
1412,"Lipocheilus carnolabrum",51.5,NA,0.214,NA,NA,NA,NA,NA,NA
1413,"Lutjanus adetii",29.3,36.7,0.34,NA,NA,NA,NA,24,NA
1413,"Lutjanus adetii",33.4,41.9,0.26,NA,NA,NA,NA,24,NA
1413,"Lutjanus adetii",27,29.22121,0.134,NA,NA,NA,NA,26,NA
1413,"Lutjanus adetii",25.4,29.1,0.321,NA,NA,NA,NA,25.7,NA
1453,"Lutjanus analis",78,85.2,0.246,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",80.8,88.2,0.132,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",86,86,0.153,NA,NA,NA,NA,22.5,NA
1453,"Lutjanus analis",88,96.1,0.152,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",118,129,0.1,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",118,129,0.13,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",82,89.5,0.2,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",103,103,0.17,NA,NA,NA,NA,27.2,NA
1453,"Lutjanus analis",86.9,86.9,0.16,NA,NA,NA,NA,23,NA
1453,"Lutjanus analis",84.5,NA,0.05,NA,NA,NA,NA,NA,NA
1454,"Lutjanus apodus",34.9,36.6,0.35,NA,NA,NA,NA,28,1.9
1456,"Lutjanus argentimaculatus",105,105,0.187,NA,NA,NA,NA,27,NA
1456,"Lutjanus argentimaculatus",55.6,NA,0.19,NA,NA,NA,NA,NA,NA
1457,"Lutjanus argentiventris",68.6,68.6,0.155,NA,NA,NA,NA,18,NA
1468,"Lutjanus bohar",52,63.3,0.11,NA,NA,NA,NA,24,NA
1468,"Lutjanus bohar",81.7,87.5,0.27,NA,NA,NA,NA,30,NA
1468,"Lutjanus bohar",66,66,0.27,NA,NA,NA,NA,27.2,NA
1468,"Lutjanus bohar",66,66,0.33,NA,NA,NA,NA,27,NA
1468,"Lutjanus bohar",63.6,NA,0.091,NA,NA,NA,NA,NA,NA
1469,"Lutjanus boutton",19.6,NA,0.6,NA,NA,NA,NA,NA,NA
1470,"Lutjanus buccanella",46,47.8,0.35,NA,NA,NA,NA,20,NA
