"","sname","DataSource.x","DataSource.y"
"1112","Lutjanus quinquelineatus","Speciesmpack",NA
"1113","Lutjanus rivulatus","Speciesmpack",NA
"1114","Lutjanus sanguineus","Speciesmpack",NA
"1115","Lutjanus sebae","Speciesmpack",NA
"1116","Lutjanus spp",NA,"FBmpack"
"1117","Lutjanus synagris","Speciesmpack","FBmpack"
"1118","Lutjanus vitta","Speciesmpack",NA
"1119","Lutjanus vivanus","Speciesmpack","FBmpack"
"1120","Luxilus chrysocephalus","Speciesmpack",NA
"1121","Lycodes albolineatus","Speciesmpack",NA
"1122","Lycodes brunneofasciatus","Speciesmpack",NA
"1123","Lycodes pacificus","Speciesmpack",NA
"1124","Lycodes spp",NA,"FBmpack"
"1125","Macquaria ambigua","Speciesmpack",NA
"1126","Macrocystis spp",NA,"FBmpack"
"1127","Macrodon ancylodon","Speciesmpack","FBmpack"
"1128","Macrodon atricauda","Speciesmpack",NA
"1129","Macrognathus maculatus","Speciesmpack",NA
"1130","Macrognathus pancalus","Speciesmpack",NA
"1131","Macroramphosus gracilis","Speciesmpack",NA
"1132","Macroramphosus scolopax","Speciesmpack",NA
"1133","Macrouridae",NA,"FBmpack"
"1134","Macrourus berglax",NA,"FBmpack"
"1135","Macrourus carinatus",NA,"FBmpack"
"1136","Macrourus spp",NA,"FBmpack"
"1137","Macruronus magellanicus","Speciesmpack","FBmpack"
"1138","Macruronus novaezelandiae","Speciesmpack","FBmpack"
"1139","Maja squinado",NA,"FBmpack"
"1140","Makaira indica",NA,"FBmpack"
"1141","Makaira mazara","Speciesmpack",NA
"1142","Makaira nigricans","Speciesmpack","FBmpack"
"1143","Malacocottus zonurus","Speciesmpack",NA
"1144","Mallotus villosus","Speciesmpack","FBmpack"
"1145","Mammalia",NA,"FBmpack"
"1146","Marcusenius macrolepidotus","Speciesmpack",NA
"1147","Maurolicus muelleri","Speciesmpack",NA
"1148","Megalaspis cordyla","Speciesmpack","FBmpack"
"1149","Megalobrama amblycephala","Speciesmpack",NA
"1150","Megalobrama terminalis","Speciesmpack",NA
"1151","Megalops atlanticus","Speciesmpack","FBmpack"
"1152","Megalops cyprinoides",NA,"FBmpack"
"1153","Megaptera novaeangliae",NA,"FBmpack"
"1154","Melanogrammus aeglefinus","Speciesmpack","FBmpack"
"1155","Melanotaenia fluviatilis","Speciesmpack",NA
"1156","Mene maculata","Speciesmpack","FBmpack"
"1157","Menidia extensa","Speciesmpack",NA
"1158","Menidia menidia","Speciesmpack","FBmpack"
"1159","Menippe mercenaria",NA,"FBmpack"
"1160","Menticirrhus littoralis",NA,"FBmpack"
"1161","Menticirrhus saxatilis","Speciesmpack","FBmpack"
"1162","Menticirrhus spp",NA,"FBmpack"
"1163","Menticirrhus undulatus","Speciesmpack",NA
"1164","Mercenaria mercenaria",NA,"FBmpack"
"1165","Meretrix lusoria",NA,"FBmpack"
"1166","Meretrix spp",NA,"FBmpack"
"1167","Merlangius merlangus","Speciesmpack","FBmpack"
"1168","Merluccius albidus","Speciesmpack","FBmpack"
"1169","Merluccius angustimanus","Speciesmpack",NA
"1170","Merluccius australis","Speciesmpack","FBmpack"
"1171","Merluccius bilinearis","Speciesmpack","FBmpack"
"1172","Merluccius capensis","Speciesmpack",NA
"1173","Merluccius capensis,M.paradox.",NA,"FBmpack"
"1174","Merluccius gayi",NA,"FBmpack"
"1175","Merluccius gayi gayi","Speciesmpack",NA
"1176","Merluccius gayi peruanus","Speciesmpack",NA
"1177","Merluccius hubbsi","Speciesmpack","FBmpack"
"1178","Merluccius merluccius","Speciesmpack","FBmpack"
"1179","Merluccius paradoxus","Speciesmpack",NA
"1180","Merluccius polli","Speciesmpack","FBmpack"
"1181","Merluccius productus","Speciesmpack","FBmpack"
"1182","Merluccius senegalensis","Speciesmpack","FBmpack"
"1183","Merluccius spp",NA,"FBmpack"
"1184","Mesodesma donacium",NA,"FBmpack"
"1185","Mesogobius batrachocephalus","Speciesmpack",NA
"1186","Metanephrops challengeri",NA,"FBmpack"
"1187","Metanephrops mozambicus",NA,"FBmpack"
"1188","Metapenaeus endeavouri",NA,"FBmpack"
"1189","Metapenaeus joyneri",NA,"FBmpack"
"1190","Metapenaeus spp",NA,"FBmpack"
"1191","Metelectrona ventralis","Speciesmpack",NA
"1192","Micralestes acutidens","Speciesmpack",NA
"1193","Microchirus spp",NA,"FBmpack"
"1194","Microchirus theophila","Speciesmpack",NA
"1195","Microchirus variegatus","Speciesmpack",NA
"1196","Microcosmus sulcatus",NA,"FBmpack"
"1197","Microgadus tomcod",NA,"FBmpack"
"1198","Microgobius thalassinus","Speciesmpack",NA
"1199","Micromesistius australis","Speciesmpack","FBmpack"
"1200","Micromesistius poutassou","Speciesmpack","FBmpack"
"1201","Micrometrus aurora","Speciesmpack",NA
"1202","Microphysogobio amurensis","Speciesmpack",NA
"1203","Micropogonias furnieri","Speciesmpack","FBmpack"
"1204","Micropogonias spp",NA,"FBmpack"
"1205","Micropogonias undulatus","Speciesmpack","FBmpack"
"1206","Micropterus dolomieu","Speciesmpack",NA
"1207","Micropterus salmoides","Speciesmpack",NA
"1208","Microstomus achne","Speciesmpack",NA
"1209","Microstomus kitt","Speciesmpack","FBmpack"
"1210","Microstomus pacificus","Speciesmpack","FBmpack"
"1211","Miichthys miiuy","Speciesmpack",NA
"1212","Milyeringa veritas","Speciesmpack",NA
"1213","Misgurnus anguillicaudatus","Speciesmpack",NA
"1214","Misgurnus fossilis","Speciesmpack",NA
"1215","Mithrax armatus",NA,"FBmpack"
"1216","Moenkhausia dichroura","Speciesmpack",NA
"1217","Mola mola","Speciesmpack",NA
"1218","Mollusca",NA,"FBmpack"
"1219","Molva dypterygia","Speciesmpack","FBmpack"
"1220","Molva molva","Speciesmpack","FBmpack"
"1221","Monocentris reedi","Speciesmpack",NA
"1222","Monochirus hispidus","Speciesmpack",NA
"1223","Monodon monoceros",NA,"FBmpack"
"1224","Monopterus albus","Speciesmpack",NA
"1225","Moolgarda cunnesius","Speciesmpack",NA
"1226","Moolgarda seheli","Speciesmpack",NA
"1227","Mora moro",NA,"FBmpack"
"1228","Moridae",NA,"FBmpack"
"1229","Mormyrops anguilloides","Speciesmpack",NA
"1230","Mormyrus longirostris","Speciesmpack",NA
"1231","Mormyrus rume","Speciesmpack",NA
"1232","Morone americana","Speciesmpack",NA
"1233","Morone chrysops","Speciesmpack",NA
"1234","Morone saxatilis","Speciesmpack","FBmpack"
"1235","Mugil cephalus","Speciesmpack","FBmpack"
"1236","Mugil curema","Speciesmpack",NA
"1237","Mugil hospes","Speciesmpack",NA
"1238","Mugil liza","Speciesmpack","FBmpack"
"1239","Mugil soiuy",NA,"FBmpack"
"1240","Mugilidae",NA,"FBmpack"
"1241","Mulinia spp",NA,"FBmpack"
"1242","Mullidae",NA,"FBmpack"
"1243","Mulloidichthys flavolineatus","Speciesmpack","FBmpack"
"1244","Mulloidichthys martinicus","Speciesmpack",NA
"1245","Mulloidichthys vanicolensis","Speciesmpack",NA
"1246","Mullus argentinae",NA,"FBmpack"
"1247","Mullus barbatus",NA,"FBmpack"
"1248","Mullus barbatus barbatus","Speciesmpack",NA
"1249","Mullus spp",NA,"FBmpack"
"1250","Mullus surmuletus","Speciesmpack","FBmpack"
"1251","Muraenesox cinereus",NA,"FBmpack"
"1252","Muraenesox spp",NA,"FBmpack"
"1253","Muraenidae",NA,"FBmpack"
"1254","Muraenolepis spp",NA,"FBmpack"
"1255","Murex spp",NA,"FBmpack"
"1256","Mustelus antarcticus","Speciesmpack",NA
"1257","Mustelus californicus","Speciesmpack",NA
"1258","Mustelus canis","Speciesmpack","FBmpack"
"1259","Mustelus henlei","Speciesmpack","FBmpack"
"1260","Mustelus lenticulatus","Speciesmpack","FBmpack"
"1261","Mustelus manazo","Speciesmpack",NA
"1262","Mustelus mustelus","Speciesmpack",NA
"1263","Mustelus schmitti",NA,"FBmpack"
"1264","Mustelus spp",NA,"FBmpack"
"1265","Mya arenaria",NA,"FBmpack"
"1266","Mycteroperca bonaci","Speciesmpack",NA
"1267","Mycteroperca interstitialis","Speciesmpack",NA
"1268","Mycteroperca microlepis","Speciesmpack",NA
"1269","Mycteroperca olfax","Speciesmpack",NA
"1270","Mycteroperca phenax","Speciesmpack","FBmpack"
"1271","Mycteroperca spp",NA,"FBmpack"
"1272","Mycteroperca tigris","Speciesmpack",NA
"1273","Mycteroperca venenosa","Speciesmpack",NA
"1274","Mycteroperca xenarcha",NA,"FBmpack"
"1275","Myctophum nitidulum","Speciesmpack",NA
"1276","Myctophum punctatum","Speciesmpack",NA
"1277","Myliobatidae",NA,"FBmpack"
"1278","Myliobatis californica","Speciesmpack",NA
"1279","Mylopharyngodon piceus","Speciesmpack",NA
"1280","Myoxocephalus octodecemspinosus","Speciesmpack",NA
"1281","Myoxocephalus scorpius","Speciesmpack",NA
"1282","Myripristis murdjan","Speciesmpack",NA
"1283","Mystus tengara","Speciesmpack",NA
"1284","Mytilidae",NA,"FBmpack"
"1285","Mytilus chilensis",NA,"FBmpack"
"1286","Mytilus coruscus",NA,"FBmpack"
"1287","Mytilus edulis",NA,"FBmpack"
"1288","Mytilus galloprovincialis",NA,"FBmpack"
"1289","Mytilus planulatus",NA,"FBmpack"
"1290","Mytilus platensis",NA,"FBmpack"
"1291","Myxinidae",NA,"FBmpack"
"1292","Myxus elongatus","Speciesmpack",NA
"1293","Nandus nandus","Speciesmpack",NA
"1294","Nannatherina balstoni","Speciesmpack",NA
"1295","Nannoperca vittata","Speciesmpack",NA
"1296","Naso annulatus","Speciesmpack",NA
"1297","Naso brachycentron","Speciesmpack",NA
"1298","Naso brevirostris","Speciesmpack",NA
"1299","Naso hexacanthus","Speciesmpack",NA
"1300","Naso lituratus","Speciesmpack",NA
"1301","Naso tuberosus","Speciesmpack",NA
"1302","Naso unicornis","Speciesmpack",NA
"1303","Naso vlamingii","Speciesmpack",NA
"1304","Natantia",NA,"FBmpack"
"1305","Naucrates ductor","Speciesmpack",NA
"1306","Negaprion brevirostris","Speciesmpack",NA
"1307","Nemadactylus macropterus","Speciesmpack","FBmpack"
"1308","Nemadactylus spp",NA,"FBmpack"
"1309","Nematalosa nasus","Speciesmpack",NA
"1310","Nematalosa vlaminghi","Speciesmpack",NA
"1311","Nemichthys scolopaceus","Speciesmpack",NA
"1312","Nemipteridae",NA,"FBmpack"
"1313","Nemipterus balinensoides","Speciesmpack",NA
"1314","Nemipterus bathybius","Speciesmpack",NA
"1315","Nemipterus bipunctatus","Speciesmpack",NA
"1316","Nemipterus furcosus","Speciesmpack",NA
"1317","Nemipterus hexodon","Speciesmpack",NA
"1318","Nemipterus japonicus","Speciesmpack","FBmpack"
"1319","Nemipterus marginatus","Speciesmpack",NA
"1320","Nemipterus mesoprion","Speciesmpack",NA
"1321","Nemipterus nematophorus","Speciesmpack",NA
"1322","Nemipterus nemurus","Speciesmpack",NA
"1323","Nemipterus peronii","Speciesmpack",NA
"1324","Nemipterus randalli","Speciesmpack",NA
"1325","Nemipterus spp",NA,"FBmpack"
"1326","Nemipterus tambuloides","Speciesmpack",NA
"1327","Nemipterus thosaporni","Speciesmpack",NA
"1328","Nemipterus virgatus","Speciesmpack","FBmpack"
"1329","Neoceratodus forsteri","Speciesmpack",NA
"1330","Neogobius fluviatilis","Speciesmpack",NA
"1331","Neogobius melanostomus","Speciesmpack",NA
"1332","Neoniphon sammara","Speciesmpack",NA
"1333","Neoscorpis lithophilus","Speciesmpack",NA
"1334","Nephrops norvegicus",NA,"FBmpack"
"1335","Nerophis ophidion","Speciesmpack",NA
"1336","Netuma thalassina","Speciesmpack",NA
"1337","Nezumia bairdii","Speciesmpack",NA
"1338","Nezumia sclerorhynchus","Speciesmpack",NA
"1339","Nezumia stelgidolepis","Speciesmpack",NA
"1340","Nibea albiflora","Speciesmpack",NA
"1341","Nibea maculata","Speciesmpack",NA
"1342","Nibea mitsukurii",NA,"FBmpack"
"1343","Notarius troschelii","Speciesmpack",NA
"1344","Nothobranchius furzeri","Speciesmpack",NA
"1345","Notolabrus celidotus","Speciesmpack",NA
"1346","Notolabrus fucicola","Speciesmpack",NA
"1347","Notolychnus valdiviae","Speciesmpack",NA
"1348","Notorynchus cepedianus",NA,"FBmpack"
"1349","Notothenia coriiceps","Speciesmpack",NA
"1350","Notothenia cyanobrancha","Speciesmpack",NA
"1351","Notothenia gibberifrons",NA,"FBmpack"
"1352","Notothenia rossii","Speciesmpack","FBmpack"
"1353","Notothenia squamifrons",NA,"FBmpack"
"1354","Nototheniidae",NA,"FBmpack"
"1355","Nototheniops larseni","Speciesmpack",NA
"1356","Nototodarus sloanii",NA,"FBmpack"
"1357","Notropis atherinoides","Speciesmpack",NA
"1358","Novaculichthys taeniourus","Speciesmpack",NA
"1359","Nuchequula blochii","Speciesmpack",NA
"1360","Nuchequula gerreoides","Speciesmpack",NA
"1361","Nuchequula nuchalis","Speciesmpack",NA
"1362","Oblada melanura","Speciesmpack","FBmpack"
"1363","Octopodidae",NA,"FBmpack"
"1364","Octopus vulgaris",NA,"FBmpack"
"1365","Ocyurus chrysurus","Speciesmpack","FBmpack"
"1366","Odax pullus","Speciesmpack",NA
"1367","Odobenus rosmarus",NA,"FBmpack"
"1368","Odontesthes bonariensis","Speciesmpack",NA
"1369","Odontesthes regia","Speciesmpack","FBmpack"
"1370","Odontoceti",NA,"FBmpack"
"1371","Okamejei hollandi","Speciesmpack",NA
"1372","Oligocottus maculosus","Speciesmpack",NA
"1373","Ommastrephes bartrami",NA,"FBmpack"
"1374","Oncorhynchus gorbuscha",NA,"FBmpack"
"1375","Oncorhynchus keta","Speciesmpack","FBmpack"
"1376","Oncorhynchus kisutch","Speciesmpack","FBmpack"
"1377","Oncorhynchus masou",NA,"FBmpack"
"1378","Oncorhynchus masou masou","Speciesmpack",NA
"1379","Oncorhynchus mykiss","Speciesmpack","FBmpack"
"1380","Oncorhynchus nerka","Speciesmpack","FBmpack"
"1381","Oncorhynchus tshawytscha",NA,"FBmpack"
"1382","Oneirodes acanthias","Speciesmpack",NA
"1383","Ophichthidae",NA,"FBmpack"
"1384","Ophichthus zophochir","Speciesmpack",NA
"1385","Ophidiidae",NA,"FBmpack"
"1386","Ophiodon elongatus","Speciesmpack","FBmpack"
"1387","Opisthonema libertate","Speciesmpack","FBmpack"
"1388","Opisthonema oglinum","Speciesmpack","FBmpack"
"1389","Opsanus beta","Speciesmpack",NA
"1390","Opsanus tau","Speciesmpack",NA
"1391","Orcinus orca",NA,"FBmpack"
"1392","Orcynopsis unicolor",NA,"FBmpack"
"1393","Oreochromis andersonii","Speciesmpack",NA
"1394","Oreochromis aureus","Speciesmpack",NA
"1395","Oreochromis esculentus","Speciesmpack",NA
"1396","Oreochromis macrochir","Speciesmpack",NA
"1397","Oreochromis mortimeri","Speciesmpack",NA
"1398","Oreochromis mossambicus","Speciesmpack",NA
"1399","Oreochromis niloticus","Speciesmpack",NA
"1400","Oreochromis shiranus","Speciesmpack",NA
"1401","Oreochromis spilurus","Speciesmpack",NA
"1402","Oreochromis variabilis","Speciesmpack",NA
"1403","Oreosomatidae",NA,"FBmpack"
"1404","Orthopristis reddingi","Speciesmpack",NA
"1405","Orthopristis ruber","Speciesmpack",NA
"1406","Osmerus dentex","Speciesmpack",NA
"1407","Osmerus eperlanus","Speciesmpack","FBmpack"
"1408","Osmerus mordax","Speciesmpack","FBmpack"
"1409","Osmerus spp, Hypomesus spp",NA,"FBmpack"
"1410","Osteichthyes",NA,"FBmpack"
"1411","Osteichthyes",NA,"FBmpack"
"1412","Osteichthyes",NA,"FBmpack"
"1413","Osteichthyes",NA,"FBmpack"
"1414","Osteichthyes",NA,"FBmpack"
"1415","Osteochilus vittatus","Speciesmpack",NA
"1416","Ostorhinchus cyanosoma","Speciesmpack",NA
"1417","Ostraciidae",NA,"FBmpack"
"1418","Ostrea chilensis",NA,"FBmpack"
"1419","Ostrea edulis",NA,"FBmpack"
"1420","Ostrea lutaria",NA,"FBmpack"
"1421","Otariidae, Phocidae",NA,"FBmpack"
"1422","Otolithes cuvieri","Speciesmpack",NA
"1423","Otolithes ruber","Speciesmpack","FBmpack"
"1424","Otolithoides biauritus","Speciesmpack",NA
"1425","Oxynotus centrina",NA,"FBmpack"
"1426","Oxyporhamphus micropterus","Speciesmpack",NA
"1427","Pachymetopon aeneum","Speciesmpack",NA
"1428","Pachymetopon blochii","Speciesmpack",NA
"1429","Pachymetopon grande","Speciesmpack",NA
"1430","Pagellus acarne","Speciesmpack","FBmpack"
"1431","Pagellus affinis","Speciesmpack",NA
"1432","Pagellus bellottii","Speciesmpack","FBmpack"
"1433","Pagellus bogaraveo","Speciesmpack","FBmpack"
"1434","Pagellus erythrinus","Speciesmpack","FBmpack"
"1435","Pagellus natalensis","Speciesmpack",NA
"1436","Pagellus spp",NA,"FBmpack"
"1437","Pagrus auratus","Speciesmpack","FBmpack"
"1438","Pagrus caeruleostictus","Speciesmpack",NA
"1439","Pagrus major","Speciesmpack",NA
"1440","Pagrus pagrus","Speciesmpack","FBmpack"
"1441","Pagrus spp",NA,"FBmpack"
"1442","Palaemon serratus",NA,"FBmpack"
"1443","Palaemonidae",NA,"FBmpack"
"1444","Palinuridae",NA,"FBmpack"
"1445","Palinurus delagoae",NA,"FBmpack"
"1446","Palinurus elephas",NA,"FBmpack"
"1447","Palinurus gilchristi",NA,"FBmpack"
"1448","Palinurus mauritanicus",NA,"FBmpack"
"1449","Palinurus spp",NA,"FBmpack"
"1450","Palmoliparis beckeri","Speciesmpack",NA
"1451","Pampus argenteus","Speciesmpack","FBmpack"
"1452","Pampus chinensis","Speciesmpack",NA
"1453","Pampus spp",NA,"FBmpack"
"1454","Pandalopsis japonica",NA,"FBmpack"
"1455","Pandalus borealis",NA,"FBmpack"
"1456","Pandalus goniurus",NA,"FBmpack"
"1457","Pandalus hypsinotus",NA,"FBmpack"
"1458","Pandalus jordani",NA,"FBmpack"
"1459","Pandalus kessleri",NA,"FBmpack"
"1460","Pandalus spp",NA,"FBmpack"
"1461","Pangasius pangasius","Speciesmpack",NA
"1462","Pangio kuhlii","Speciesmpack",NA
"1463","Panopea abrupta",NA,"FBmpack"
"1464","Panulirus argus",NA,"FBmpack"
"1465","Panulirus cygnus",NA,"FBmpack"
"1466","Panulirus gracilis",NA,"FBmpack"
"1467","Panulirus homarus",NA,"FBmpack"
"1468","Panulirus longipes",NA,"FBmpack"
"1469","Panulirus spp",NA,"FBmpack"
"1470","Paphia spp",NA,"FBmpack"
"1471","Paphies australis",NA,"FBmpack"
"1472","Papyrocranus afer","Speciesmpack",NA
"1473","Parabramis pekinensis","Speciesmpack",NA
"1474","Paracentrotus lividus",NA,"FBmpack"
"1475","Paracottus knerii","Speciesmpack",NA
"1476","Parailia pellucida","Speciesmpack",NA
"1477","Paralabrax clathratus","Speciesmpack",NA
"1478","Paralabrax humeralis",NA,"FBmpack"
"1479","Paralichthys californicus","Speciesmpack","FBmpack"
"1480","Paralichthys dentatus","Speciesmpack","FBmpack"
"1481","Paralichthys lethostigma","Speciesmpack",NA
"1482","Paralichthys olivaceus","Speciesmpack","FBmpack"
"1483","Paralichthys patagonicus","Speciesmpack",NA
"1484","Paralichthys spp",NA,"FBmpack"
"1485","Paralithodes brevipes",NA,"FBmpack"
"1486","Paralithodes camtschaticus",NA,"FBmpack"
"1487","Paralithodes platypus",NA,"FBmpack"
"1488","Paralithodes spp",NA,"FBmpack"
"1489","Paralomis granulosa",NA,"FBmpack"
"1490","Paralonchurus peruanus",NA,"FBmpack"
"1491","Parambassis ranga","Speciesmpack",NA
"1492","Paranotothenia magellanica","Speciesmpack",NA
"1493","Paranthias furcifer","Speciesmpack",NA
"1494","Parapenaeopsis spp",NA,"FBmpack"
"1495","Parapenaeus longirostris",NA,"FBmpack"
"1496","Parapercis colias","Speciesmpack",NA
"1497","Parapercis hexophtalma","Speciesmpack",NA
"1498","Parapristipoma trilineatum","Speciesmpack",NA
"1499","Parascolopsis inermis","Speciesmpack",NA
"1500","Parastromateus niger","Speciesmpack","FBmpack"
"1501","Parexocoetus brachypterus","Speciesmpack",NA
"1502","Parika scaber",NA,"FBmpack"
"1503","Paristiopterus labiosus",NA,"FBmpack"
"1504","Parma microlepis","Speciesmpack",NA
"1505","Parona signata",NA,"FBmpack"
"1506","Parophrys vetulus","Speciesmpack",NA
"1507","Parupeneus barberinus","Speciesmpack",NA
"1508","Parupeneus forsskali","Speciesmpack",NA
"1509","Parupeneus heptacanthus","Speciesmpack",NA
"1510","Parupeneus macronemus","Speciesmpack",NA
"1511","Patagonotothen brevicauda",NA,"FBmpack"
"1512","Patagonotothen ramsayi","Speciesmpack",NA
"1513","Patinopecten caurinus",NA,"FBmpack"
"1514","Patinopecten yessoensis",NA,"FBmpack"
"1515","Pecten jacobaeus",NA,"FBmpack"
"1516","Pecten maximus",NA,"FBmpack"
"1517","Pecten novaezelandiae",NA,"FBmpack"
"1518","Pectinidae",NA,"FBmpack"
"1519","Pegusa impar","Speciesmpack",NA
"1520","Pegusa lascaris","Speciesmpack",NA
"1521","Pelecus cultratus","Speciesmpack","FBmpack"
"1522","Pellona ditchela","Speciesmpack","FBmpack"
"1523","Pellonula leonensis","Speciesmpack",NA
"1524","Pelteobagrus ussuriensis","Speciesmpack",NA
"1525","Penaeus aztecus",NA,"FBmpack"
"1526","Penaeus brasiliensis",NA,"FBmpack"
"1527","Penaeus brevirostris",NA,"FBmpack"
"1528","Penaeus californiensis",NA,"FBmpack"
"1529","Penaeus chinensis",NA,"FBmpack"
"1530","Penaeus duorarum",NA,"FBmpack"
"1531","Penaeus japonicus",NA,"FBmpack"
"1532","Penaeus kerathurus",NA,"FBmpack"
"1533","Penaeus latisulcatus",NA,"FBmpack"
"1534","Penaeus merguiensis",NA,"FBmpack"
"1535","Penaeus monodon",NA,"FBmpack"
"1536","Penaeus notialis",NA,"FBmpack"
"1537","Penaeus occidentalis",NA,"FBmpack"
"1538","Penaeus paulensis",NA,"FBmpack"
"1539","Penaeus penicillatus",NA,"FBmpack"
"1540","Penaeus semisulcatus",NA,"FBmpack"
"1541","Penaeus setiferus",NA,"FBmpack"
"1542","Penaeus spp",NA,"FBmpack"
"1543","Penaeus vannamei",NA,"FBmpack"
"1544","Pennahia anea","Speciesmpack","FBmpack"
"1545","Pennahia argentata","Speciesmpack","FBmpack"
"1546","Pentanemus quinquarius","Speciesmpack","FBmpack"
"1547","Pentaprion longimanus","Speciesmpack",NA
"1548","Peprilus burti","Speciesmpack",NA
"1549","Peprilus paru",NA,"FBmpack"
"1550","Peprilus simillimus",NA,"FBmpack"
"1551","Peprilus spp",NA,"FBmpack"
"1552","Peprilus triacanthus","Speciesmpack","FBmpack"
"1553","Perca flavescens","Speciesmpack",NA
"1554","Perca fluviatilis","Speciesmpack","FBmpack"
"1555","Perccottus glenii","Speciesmpack",NA
"1556","Perciformes",NA,"FBmpack"
"1557","Perciformes",NA,"FBmpack"
"1558","Percoidei",NA,"FBmpack"
"1559","Percophis brasiliensis",NA,"FBmpack"
"1560","Periophthalmus barbarus","Speciesmpack",NA
"1561","Perna viridis",NA,"FBmpack"
"1562","Pethia ticto","Speciesmpack",NA
"1563","Petrocephalus catostoma","Speciesmpack",NA
"1564","Petromyzon marinus","Speciesmpack","FBmpack"
"1565","Petrus rupestris","Speciesmpack",NA
"1566","Phaeophyceae",NA,"FBmpack"
"1567","Pharyngochromis darlingi","Speciesmpack",NA
"1568","Phoca fasciata",NA,"FBmpack"
"1569","Phoca groenlandica",NA,"FBmpack"
"1570","Phoca hispida",NA,"FBmpack"
"1571","Phoca largha",NA,"FBmpack"
"1572","Phoca vitulina",NA,"FBmpack"
"1573","Phocoena phocoena",NA,"FBmpack"
"1574","Phocoenoides dalli",NA,"FBmpack"
"1575","Pholis gunnellus","Speciesmpack",NA
"1576","Pholis nebulosa","Speciesmpack",NA
"1577","Photopectoralis bindus","Speciesmpack",NA
"1578","Phoxinus phoxinus","Speciesmpack",NA
"1579","Phycis blennoides","Speciesmpack","FBmpack"
"1580","Phycis phycis","Speciesmpack",NA
"1581","Phycis spp",NA,"FBmpack"
"1582","Phyllopteryx taeniolatus","Speciesmpack",NA
"1583","Piaractus brachypomus","Speciesmpack",NA
"1584","Pimephales promelas","Speciesmpack",NA
"1585","Placopecten magellanicus",NA,"FBmpack"
"1586","Plagiogeneion rubiginosum",NA,"FBmpack"
"1587","Plagioscion squamosissimus","Speciesmpack",NA
"1588","Plantae aquaticae",NA,"FBmpack"
"1589","Platax spp",NA,"FBmpack"
"1590","Platichthys flesus","Speciesmpack","FBmpack"
"1591","Platichthys stellatus","Speciesmpack",NA
"1592","Platycephalidae",NA,"FBmpack"
"1593","Platycephalus bassensis","Speciesmpack",NA
"1594","Platycephalus caeruleopunctatus","Speciesmpack",NA
"1595","Platycephalus fuscus","Speciesmpack",NA
"1596","Platycephalus indicus","Speciesmpack","FBmpack"
"1597","Platycephalus richardsoni","Speciesmpack",NA
"1598","Platycephalus speculator","Speciesmpack",NA
"1599","Plectorhinchus gibbosus","Speciesmpack",NA
"1600","Plectorhinchus lineatus","Speciesmpack",NA
"1601","Plectorhinchus mediterraneus","Speciesmpack","FBmpack"
"1602","Plectorhinchus pictus","Speciesmpack",NA
"1603","Plectorhinchus picus","Speciesmpack",NA
"1604","Plectropomus leopardus","Speciesmpack",NA
"1605","Plectropomus maculatus","Speciesmpack",NA
"1606","Pleoticus muelleri",NA,"FBmpack"
"1607","Pleoticus robustus",NA,"FBmpack"
"1608","Plesiopenaeus edwardsianus",NA,"FBmpack"
"1609","Pleuragramma antarctica","Speciesmpack",NA
"1610","Pleuragramma antarcticum",NA,"FBmpack"
"1611","Pleurogrammus azonus",NA,"FBmpack"
"1612","Pleurogrammus monopterygius","Speciesmpack","FBmpack"
"1613","Pleuroncodes monodon",NA,"FBmpack"
"1614","Pleuronectes platessa","Speciesmpack","FBmpack"
"1615","Pleuronectes quadrituberculat.",NA,"FBmpack"
"1616","Pleuronectes quadrituberculatus","Speciesmpack",NA
"1617","Pleuronectes vetulus",NA,"FBmpack"
"1618","Pleuronectiformes",NA,"FBmpack"
"1619","Pleuronichthys cornutus","Speciesmpack",NA
"1620","Plicofollis dussumieri","Speciesmpack",NA
"1621","Plicofollis tenuispinis","Speciesmpack",NA
"1622","Plotosus lineatus","Speciesmpack",NA
"1623","Plotosus spp",NA,"FBmpack"
"1624","Poecilia reticulata","Speciesmpack",NA
"1625","Pogonias cromis","Speciesmpack","FBmpack"
"1626","Pollachius pollachius","Speciesmpack","FBmpack"
"1627","Pollachius virens","Speciesmpack","FBmpack"
"1628","Polychaeta",NA,"FBmpack"
"1629","Polydactylus multiradiatus","Speciesmpack",NA
"1630","Polydactylus octonemus","Speciesmpack",NA
"1631","Polydactylus quadrifilis","Speciesmpack","FBmpack"
"1632","Polynemidae",NA,"FBmpack"
"1633","Polyodon spathula","Speciesmpack",NA
"1634","Polyprion americanus","Speciesmpack","FBmpack"
"1635","Polyprion oxygeneios","Speciesmpack","FBmpack"
"1636","Polypterus senegalus","Speciesmpack",NA
"1637","Polysteganus undulosus","Speciesmpack",NA
"1638","Pomacanthidae",NA,"FBmpack"
"1639","Pomacanthus maculosus",NA,"FBmpack"
"1640","Pomacanthus paru","Speciesmpack",NA
"1641","Pomacentrus moluccensis","Speciesmpack",NA
"1642","Pomacentrus wardi","Speciesmpack",NA
"1643","Pomadasys argenteus","Speciesmpack","FBmpack"
"1644","Pomadasys argyreus","Speciesmpack",NA
"1645","Pomadasys commersonnii","Speciesmpack",NA
"1646","Pomadasys incisus","Speciesmpack",NA
"1647","Pomadasys jubelini","Speciesmpack","FBmpack"
"1648","Pomadasys kaakan","Speciesmpack","FBmpack"
"1649","Pomadasys maculatus","Speciesmpack",NA
